Year,5%,Mean,95%
1950.00,4.04584,6.26563,9.60864
1951.00,3.88665,6.19315,9.63261
1952.00,4.03040,6.25420,9.55559
1953.00,4.40147,6.28144,9.41526
1954.00,4.55774,6.28861,9.38703
1955.00,4.31793,6.20155,9.29525
1956.00,4.39948,6.22612,9.50596
1957.00,4.45605,6.31995,9.57768
1958.00,4.70025,6.47679,9.57196
1959.00,4.76812,6.39622,9.67123
1960.00,4.31606,6.30943,9.71519
1961.00,4.01900,6.41450,9.25051
1962.00,3.93861,6.45271,9.14999
1963.00,4.61952,6.56316,9.51394
1964.00,4.65202,6.60954,9.10543
1965.00,4.75765,6.78213,9.51644
1966.00,4.77820,6.75130,9.51592
1967.00,5.05324,6.79253,9.61490
1968.00,4.88752,6.56013,9.42121
1969.00,4.96344,6.57827,9.40699
1970.00,4.72249,6.42885,8.95997
1971.00,4.46744,6.54713,9.21504
1972.00,4.41936,6.60907,8.99636
1973.00,4.36487,6.54575,9.01129
1974.00,4.35872,6.46286,9.16302
1975.00,4.61104,6.61194,9.18378
1976.00,4.63868,6.65204,8.73097
1977.00,4.31366,6.38553,8.64648
1978.00,4.93082,6.53759,8.92582
1979.00,3.60714,6.44614,8.87750
1980.00,4.14837,6.30817,8.80444
1981.00,3.83157,6.25916,8.96348
1982.00,4.07002,6.16047,8.39092
1983.00,4.10530,6.50132,9.08125
1984.00,4.17696,6.32443,8.85555
1985.00,3.95500,6.10822,8.57708
1986.00,4.23574,6.08845,8.61805
1987.00,3.64347,5.89601,8.46451
1988.00,3.02989,5.87400,8.73477
1989.00,3.50493,5.87548,8.65418
1990.00,3.95503,5.76425,8.41115
1991.00,4.01612,5.69007,8.56586
1992.00,4.22062,6.03206,8.86163
1993.00,3.92784,6.12195,9.05448
1994.00,3.98883,5.91997,8.80702
1995.00,3.91289,5.83342,8.49613
1996.00,3.40374,5.67551,9.01044
1997.00,2.81081,5.48630,8.37768
1998.00,3.11563,5.53323,8.70456
1999.00,3.21710,5.26817,7.86596
2000.00,3.40639,5.36981,8.58590
2001.00,2.74443,5.14623,8.16113
2002.00,2.68229,5.07902,8.02726
2003.00,1.79360,4.86839,8.17914
2004.00,2.10264,4.79738,8.14284
2005.00,2.05901,4.76735,7.89701
2006.00,2.31213,4.70946,7.72921
2007.00,1.73576,4.46031,8.03152
2008.00,1.65746,4.32571,7.95923
2009.00,1.30615,4.30932,6.74237
2010.00,1.51291,4.36060,7.04474
2011.00,1.93877,4.29893,7.11786
2012.00,2.60324,4.29465,6.92603
2013.00,1.64829,4.18295,7.09021
2014.00,1.73600,4.33245,7.72785
