Year,5%,Mean,95%
2015.00,1.57937,4.05819,7.02973
2016.00,1.21006,3.84845,6.91778
2017.00,1.12581,3.89917,6.90356
2018.00,0.934754,3.76249,6.92983
2019.00,0.562205,3.65115,6.53497
2020.00,0.668741,3.67870,6.37939
2021.00,0.993220,3.42918,6.26374
2022.00,0.427316,3.25956,6.25011
2023.00,0.635100,3.15431,6.16847
2024.00,0.666150,3.11103,5.91400
2025.00,0.467937,2.97517,6.11491
2026.00,0.489480,3.00890,6.02550
2027.00,0.406149,2.85048,6.49669
2028.00,0.293356,2.60592,6.15339
2029.00,0.252798,2.61646,6.21472
2030.00,0.297174,2.53499,5.44326
2031.00,0.194357,2.41507,5.53000
2032.00,0.259384,2.24094,5.24525
2033.00,0.224597,2.22513,5.70750
2034.00,0.207657,2.19679,5.60264
2035.00,0.202454,2.18068,5.56757
2036.00,0.106928,2.11914,5.50012
2037.00,0.142503,1.98370,5.75456
2038.00,0.139539,1.84818,5.57477
2039.00,0.0985782,1.88851,5.56538
2040.00,0.0930737,1.77317,6.04401
2041.00,0.0964568,1.67871,6.09609
2042.00,0.0858331,1.60558,6.02464
2043.00,0.0532051,1.54034,5.88365
2044.00,0.0362692,1.62671,5.39226
2045.00,0.0394248,1.59426,5.69161
2046.00,0.0248484,1.45726,5.40072
2047.00,0.0258706,1.38464,5.03264
2048.00,0.0118659,1.29076,4.92014
2049.00,0.0332935,1.28019,4.61709
2050.00,0.0253935,1.20622,4.82186
2051.00,0.0288992,1.27606,5.69669
2052.00,0.0194835,1.05981,4.86724
2053.00,0.00659403,1.11431,5.23829
2054.00,0.00442874,1.19683,5.35492
2055.00,0.0132682,1.03094,4.71269
2056.00,0.00264555,1.05058,4.68843
2057.00,0.0110051,0.941091,4.69530
2058.00,0.00703731,0.820204,4.51699
2059.00,0.00653542,0.842499,4.84289
2060.00,0.00534154,0.802221,4.75898
2061.00,0.00270951,0.828635,5.03425
2062.00,0.00102592,0.687202,4.54199
2063.00,0.000176122,0.729418,4.71175
2064.00,0.00166783,0.738799,4.26905
2065.00,0.000157614,0.719396,4.43204
2066.00,0.00105618,0.598911,4.10196
2067.00,0.000630374,0.627960,3.85690
2068.00,0.000539411,0.767118,4.38120
2069.00,0.000972338,0.635244,4.04175
2070.00,0.00000,0.647039,4.50462
2071.00,0.000191733,0.608953,4.53778
2072.00,0.00000,0.554685,3.92162
2073.00,0.00000,0.504211,3.95653
2074.00,8.82248e-07,0.504226,4.16432
2075.00,0.00000,0.511786,3.57954
2076.00,0.00000,0.492347,3.33545
2077.00,0.00000,0.518472,3.70109
2078.00,5.55249e-06,0.335351,2.56238
2079.00,0.00000,0.307556,2.63176
2080.00,0.00000,0.402561,3.11831
2081.00,0.00000,0.363702,3.01274
2082.00,0.00000,0.342465,2.50071
2083.00,0.00000,0.335494,2.60438
2084.00,0.00000,0.383004,3.04582
2085.00,0.00000,0.270661,2.14083
2086.00,0.00000,0.329036,2.88681
2087.00,0.00000,0.302353,2.55839
2088.00,0.00000,0.224234,1.78891
2089.00,0.00000,0.303576,2.42897
2090.00,0.00000,0.308718,2.57488
2091.00,0.00000,0.299819,2.21218
2092.00,0.00000,0.305883,2.41931
2093.00,0.00000,0.218319,2.05259
2094.00,0.00000,0.251315,2.01597
2095.00,0.00000,0.190912,1.80707
2096.00,0.00000,0.243529,2.21905
2097.00,0.00000,0.167959,1.51673
2098.00,0.00000,0.194672,1.84191
2099.00,0.00000,0.246123,2.10912
