Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFRPUS2&f=W
15:06:36 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline Thousand Barrels per Day
12/24/2021,10113
12/17/2021,9942
12/10/2021,10042
12/3/2021,9563
11/26/2021,9649
11/19/2021,10099
11/12/2021,9922
11/5/2021,10054
10/29/2021,10176
10/22/2021,10072
10/15/2021,10060
10/8/2021,9605
10/1/2021,9366
09/24/2021,9889
09/17/2021,9643
09/10/2021,9271
09/3/2021,10122
08/27/2021,9885
08/20/2021,10249
08/13/2021,10000
08/6/2021,9961
07/30/2021,10151
07/23/2021,9779
07/16/2021,9130
07/9/2021,9858
07/2/2021,10554
06/25/2021,9578
06/18/2021,10327
06/11/2021,9926
06/4/2021,9431
05/28/2021,9566
05/21/2021,9748
05/14/2021,9753
05/7/2021,9588
04/30/2021,9146
04/23/2021,9629
04/16/2021,9386
04/9/2021,9615
04/2/2021,9279
03/26/2021,9339
03/19/2021,8577
03/12/2021,8877
03/5/2021,9005
02/26/2021,8301
02/19/2021,7736
02/12/2021,9031
02/5/2021,8656
01/29/2021,8420
01/22/2021,8673
01/15/2021,8885
01/8/2021,7512
01/1/2021,8010
12/25/2020,9191
12/18/2020,8829
12/11/2020,8522
12/4/2020,8340
11/27/2020,8584
11/20/2020,8850
11/13/2020,9064
11/6/2020,9319
10/30/2020,9072
10/23/2020,9095
10/16/2020,8933
10/9/2020,9240
10/2/2020,9522
09/25/2020,8892
09/18/2020,9315
09/11/2020,8819
09/4/2020,8930
08/28/2020,9534
08/21/2020,9518
08/14/2020,9400
08/7/2020,9600
07/31/2020,9300
07/24/2020,9158
07/17/2020,9079
07/10/2020,9095
07/3/2020,9045
06/26/2020,8905
06/19/2020,8794
06/12/2020,8356
06/5/2020,8139
05/29/2020,7779
05/22/2020,7171
05/15/2020,7166
05/8/2020,7497
05/1/2020,6705
04/24/2020,6735
04/17/2020,6205
04/10/2020,5915
04/3/2020,5818
03/27/2020,7456
03/20/2020,8958
03/13/2020,9974
03/6/2020,9956
02/28/2020,9757
02/21/2020,9797
02/14/2020,9525
02/7/2020,9241
01/31/2020,9903
01/24/2020,9158
01/17/2020,9535
01/10/2020,9281
01/3/2020,8887
12/27/2019,10173
12/20/2019,10269
12/13/2019,9840
12/6/2019,9753
11/29/2019,9941
11/22/2019,10065
11/15/2019,10053
11/8/2019,10173
11/1/2019,10036
10/25/2019,10184
10/18/2019,10098
10/11/2019,9998
10/4/2019,10066
09/27/2019,10081
09/20/2019,10240
09/13/2019,9451
09/6/2019,10360
08/30/2019,10272
08/23/2019,10660
08/16/2019,9897
08/9/2019,10203
08/2/2019,10421
07/26/2019,10416
07/19/2019,10089
07/12/2019,9855
07/5/2019,10418
06/28/2019,9948
06/21/2019,10512
06/14/2019,10423
06/7/2019,10276
05/31/2019,10049
05/24/2019,9863
05/17/2019,9883
05/10/2019,9912
05/3/2019,10129
04/26/2019,9927
04/19/2019,9781
04/12/2019,9917
04/5/2019,10169
03/29/2019,9813
03/22/2019,9657
03/15/2019,9925
03/8/2019,9735
03/1/2019,9852
02/22/2019,9553
02/15/2019,9489
02/8/2019,9619
02/1/2019,9856
01/25/2019,9904
01/18/2019,9604
01/11/2019,9584
01/4/2019,9392
12/28/2018,9533
12/21/2018,10144
12/14/2018,10334
12/7/2018,10457
11/30/2018,9666
11/23/2018,10168
11/16/2018,10036
11/9/2018,10056
11/2/2018,9714
10/26/2018,10364
10/19/2018,10028
10/12/2018,10430
10/5/2018,9711
09/28/2018,9950
09/21/2018,9832
09/14/2018,10270
09/7/2018,10384
08/31/2018,10215
08/24/2018,10237
08/17/2018,10151
08/10/2018,10234
08/3/2018,9913
07/27/2018,10483
07/20/2018,10255
07/13/2018,10292
07/6/2018,10699
06/29/2018,10311
06/22/2018,10142
06/15/2018,10099
06/8/2018,10451
06/1/2018,9658
05/25/2018,10433
05/18/2018,10052
05/11/2018,10462
05/4/2018,9974
04/27/2018,10045
04/20/2018,9886
04/13/2018,10204
04/6/2018,10150
03/30/2018,10115
03/23/2018,10305
03/16/2018,9932
03/9/2018,10280
03/2/2018,9923
02/23/2018,9391
02/16/2018,10107
02/9/2018,9592
02/2/2018,10085
01/26/2018,9567
01/19/2018,9358
01/12/2018,9710
01/5/2018,9525
12/29/2017,9682
12/22/2017,10246
12/15/2017,10065
12/8/2017,10129
12/1/2017,9758
11/24/2017,10222
11/17/2017,10432
11/10/2017,9852
11/3/2017,10167
10/27/2017,10187
10/20/2017,9936
10/13/2017,10031
10/6/2017,9741
09/29/2017,9853
09/22/2017,9855
09/15/2017,9793
09/8/2017,9888
09/1/2017,9517
08/25/2017,10602
08/18/2017,10566
08/11/2017,10048
08/4/2017,10301
07/28/2017,10295
07/21/2017,10393
07/14/2017,10096
07/7/2017,10469
06/30/2017,10365
06/23/2017,10334
06/16/2017,10163
06/9/2017,9843
06/2/2017,9934
05/26/2017,10430
05/19/2017,10243
05/12/2017,10020
05/5/2017,10052
04/28/2017,9783
04/21/2017,9710
04/14/2017,9794
04/7/2017,9927
03/31/2017,9515
03/24/2017,10028
03/17/2017,9771
03/10/2017,9540
03/3/2017,9844
02/24/2017,9456
02/17/2017,9429
02/10/2017,8950
02/3/2017,9804
01/27/2017,9101
01/20/2017,8825
01/13/2017,8953
01/6/2017,9666
12/30/2016,9467
12/23/2016,10537
12/16/2016,10150
12/9/2016,9828
12/2/2016,9913
11/25/2016,9986
11/18/2016,9700
11/11/2016,10152
11/4/2016,10456
10/28/2016,9824
10/21/2016,9837
10/14/2016,9498
10/7/2016,9935
09/30/2016,9988
09/23/2016,9555
09/16/2016,10083
09/9/2016,9900
09/2/2016,10173
08/26/2016,10021
08/19/2016,10035
08/12/2016,10280
08/5/2016,10098
07/29/2016,9992
07/22/2016,10068
07/15/2016,10050
07/8/2016,10218
07/1/2016,10018
06/24/2016,9959
06/17/2016,10289
06/10/2016,9707
06/3/2016,10122
05/27/2016,9916
05/20/2016,9866
05/13/2016,9997
05/6/2016,10051
04/29/2016,9811
04/22/2016,9507
04/15/2016,9738
04/8/2016,9568
04/1/2016,9617
03/25/2016,9430
03/18/2016,9683
03/11/2016,10015
03/4/2016,9580
02/26/2016,9335
02/19/2016,10009
02/12/2016,9675
02/5/2016,9553
01/29/2016,8642
01/22/2016,9377
01/15/2016,9453
01/8/2016,8820
01/1/2016,8766
12/25/2015,9921
12/18/2015,9346
12/11/2015,9963
12/4/2015,9869
11/27/2015,9752
11/20/2015,9544
11/13/2015,9558
11/6/2015,9693
10/30/2015,9537
10/23/2015,9703
10/16/2015,9579
10/9/2015,9619
10/2/2015,9306
09/25/2015,9674
09/18/2015,9545
09/11/2015,9247
09/4/2015,9587
08/28/2015,9799
08/21/2015,9782
08/14/2015,10248
08/7/2015,9993
07/31/2015,9984
07/24/2015,9681
07/17/2015,10109
07/10/2015,9658
07/3/2015,9868
06/26/2015,10046
06/19/2015,9934
06/12/2015,9651
06/5/2015,10007
05/29/2015,9408
05/22/2015,10164
05/15/2015,9651
05/8/2015,9690
05/1/2015,9152
04/24/2015,9374
04/17/2015,9763
04/10/2015,9249
04/3/2015,9143
03/27/2015,9729
03/20/2015,9024
03/13/2015,9754
03/6/2015,9165
02/27/2015,9522
02/20/2015,9659
02/13/2015,9180
02/6/2015,8708
01/30/2015,9087
01/23/2015,9177
01/16/2015,9215
01/9/2015,9125
01/2/2015,8701
12/26/2014,10195
12/19/2014,9920
12/12/2014,9652
12/5/2014,9169
11/28/2014,9593
11/21/2014,9641
11/14/2014,9630
11/7/2014,9345
10/31/2014,9695
10/24/2014,9078
10/17/2014,9313
10/10/2014,9254
10/3/2014,8874
09/26/2014,9045
09/19/2014,9135
09/12/2014,9174
09/5/2014,8965
08/29/2014,9572
08/22/2014,9514
08/15/2014,9152
08/8/2014,9518
08/1/2014,9759
07/25/2014,9337
07/18/2014,9357
07/11/2014,9139
07/4/2014,9425
06/27/2014,9436
06/20/2014,9054
06/13/2014,9840
06/6/2014,8855
05/30/2014,9476
05/23/2014,9526
05/16/2014,9592
05/9/2014,9606
05/2/2014,8992
04/25/2014,8623
04/18/2014,8891
04/11/2014,8939
04/4/2014,9370
03/28/2014,9043
03/21/2014,9000
03/14/2014,9231
03/7/2014,9357
02/28/2014,9037
02/21/2014,8693
02/14/2014,8776
02/7/2014,8866
01/31/2014,8796
01/24/2014,9187
01/17/2014,8475
01/10/2014,8325
01/3/2014,9120
12/27/2013,9078
12/20/2013,9715
12/13/2013,9311
12/6/2013,8982
11/29/2013,8977
11/22/2013,9420
11/15/2013,9268
11/8/2013,9434
11/1/2013,8352
10/25/2013,9434
10/18/2013,9130
10/11/2013,9335
10/4/2013,9249
09/27/2013,8929
09/20/2013,9030
09/13/2013,9288
09/6/2013,9069
08/30/2013,9065
08/23/2013,9403
08/16/2013,9436
08/9/2013,9072
08/2/2013,9552
07/26/2013,9504
07/19/2013,9213
07/12/2013,9047
07/5/2013,9586
06/28/2013,9382
06/21/2013,9133
06/14/2013,9100
06/7/2013,9203
05/31/2013,9341
05/24/2013,9009
05/17/2013,9214
05/10/2013,8929
05/3/2013,8673
04/26/2013,8786
04/19/2013,8995
04/12/2013,8902
04/5/2013,8761
03/29/2013,8946
03/22/2013,8861
03/15/2013,8558
03/8/2013,8954
03/1/2013,8606
02/22/2013,9211
02/15/2013,8936
02/8/2013,8896
02/1/2013,8761
01/25/2013,9064
01/18/2013,8908
01/11/2013,8590
01/4/2013,8385
12/28/2012,8917
12/21/2012,9545
12/14/2012,8888
12/7/2012,8908
11/30/2012,9197
11/23/2012,8729
11/16/2012,9189
11/9/2012,9103
11/2/2012,8892
10/26/2012,9203
10/19/2012,8989
10/12/2012,9046
10/5/2012,8638
09/28/2012,9107
09/21/2012,8930
09/14/2012,9118
09/7/2012,8951
08/31/2012,9276
08/24/2012,9183
08/17/2012,9321
08/10/2012,9357
08/3/2012,9250
07/27/2012,8977
07/20/2012,9264
07/13/2012,8894
07/6/2012,9318
06/29/2012,9388
06/22/2012,9280
06/15/2012,9022
06/8/2012,9551
06/1/2012,9056
05/25/2012,9153
05/18/2012,8945
05/11/2012,9098
05/4/2012,9087
04/27/2012,8786
04/20/2012,8789
04/13/2012,8915
04/6/2012,8912
03/30/2012,8973
03/23/2012,8756
03/16/2012,8762
03/9/2012,8821
03/2/2012,8589
02/24/2012,8850
02/17/2012,8975
02/10/2012,8788
02/3/2012,8626
01/27/2012,8562
01/20/2012,8539
01/13/2012,8788
01/6/2012,8739
12/30/2011,8936
12/23/2011,9402
12/16/2011,9390
12/9/2011,9544
12/2/2011,9127
11/25/2011,9188
11/18/2011,9470
11/11/2011,9135
11/4/2011,8815
10/28/2011,9082
10/21/2011,8936
10/14/2011,9313
10/7/2011,8914
09/30/2011,9286
09/23/2011,9279
09/16/2011,9078
09/9/2011,9356
09/2/2011,9161
08/26/2011,9584
08/19/2011,9343
08/12/2011,9324
08/5/2011,9533
07/29/2011,9146
07/22/2011,9190
07/15/2011,9242
07/8/2011,8898
07/1/2011,9529
06/24/2011,9097
06/17/2011,9541
06/10/2011,9469
06/3/2011,9446
05/27/2011,9433
05/20/2011,9259
05/13/2011,9131
05/6/2011,8876
04/29/2011,8826
04/22/2011,8841
04/15/2011,9168
04/8/2011,8970
04/1/2011,8810
03/25/2011,8696
03/18/2011,9026
03/11/2011,8744
03/4/2011,9026
02/25/2011,9226
02/18/2011,9143
02/11/2011,9169
02/4/2011,9076
01/28/2011,8827
01/21/2011,8815
01/14/2011,8867
01/7/2011,8725
12/31/2010,8920
12/24/2010,9281
12/17/2010,9457
12/10/2010,9335
12/3/2010,9396
11/26/2010,8795
11/19/2010,8943
11/12/2010,8932
11/5/2010,9011
10/29/2010,8981
10/22/2010,9214
10/15/2010,9046
10/8/2010,8727
10/1/2010,8769
09/24/2010,9159
09/17/2010,9020
09/10/2010,9175
09/3/2010,9495
08/27/2010,9306
08/20/2010,9619
08/13/2010,9446
08/6/2010,9291
07/30/2010,9415
07/23/2010,9648
07/16/2010,9315
07/9/2010,9508
07/2/2010,9367
06/25/2010,9374
06/18/2010,9262
06/11/2010,9385
06/4/2010,9223
05/28/2010,9160
05/21/2010,9011
05/14/2010,9231
05/7/2010,8962
04/30/2010,9143
04/23/2010,9205
04/16/2010,9396
04/9/2010,9248
04/2/2010,9092
